"Series.Name"	"Series.Code"	"Country.Name"	"Country.Code"	"X1960..YR1960."	"X1961..YR1961."	"X1962..YR1962."	"X1963..YR1963."	"X1964..YR1964."	"X1965..YR1965."	"X1966..YR1966."	"X1967..YR1967."	"X1968..YR1968."	"X1969..YR1969."	"X1970..YR1970."	"X1971..YR1971."	"X1972..YR1972."	"X1973..YR1973."	"X1974..YR1974."	"X1975..YR1975."	"X1976..YR1976."	"X1977..YR1977."	"X1978..YR1978."	"X1979..YR1979."	"X1980..YR1980."	"X1981..YR1981."	"X1982..YR1982."	"X1983..YR1983."	"X1984..YR1984."	"X1985..YR1985."	"X1986..YR1986."	"X1987..YR1987."	"X1988..YR1988."	"X1989..YR1989."	"X1990..YR1990."	"X1991..YR1991."	"X1992..YR1992."	"X1993..YR1993."	"X1994..YR1994."	"X1995..YR1995."	"X1996..YR1996."	"X1997..YR1997."	"X1998..YR1998."	"X1999..YR1999."	"X2000..YR2000."	"X2001..YR2001."	"X2002..YR2002."	"X2003..YR2003."	"X2004..YR2004."	"X2005..YR2005."	"X2006..YR2006."	"X2007..YR2007."	"X2008..YR2008."	"X2009..YR2009."	"X2010..YR2010."	"X2011..YR2011."	"X2012..YR2012."	"X2013..YR2013."	"X2014..YR2014."	"X2015..YR2015."
"1"	"GDP growth (annual %)"	"NY.GDP.MKTP.KD.ZG"	"Afghanistan"	"AFG"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.444163227	1.055555787	11.17527024	5.554137623	13.74020499	3.611368392	21.02064874	8.433290482	6.113685169	14.43474129	1.959122899	1.312530908	NA
"2"	"GDP growth (annual %)"	"NY.GDP.MKTP.KD.ZG"	"Bangladesh"	"BGD"	NA	6.058160825	5.45303097	-0.45589429	10.95278855	1.606258229	2.566812001	-1.87586392	9.489454015	1.220857909	5.619852293	-5.479483027	-13.9737287	3.325680199	9.5919563	-4.088214092	5.661361201	2.67305605	7.073837733	4.801634601	0.819141869	7.233943695	2.134327836	3.8810464	4.803310015	3.342014654	4.173382559	3.772401853	2.416256856	2.836582129	5.622258162	3.485227815	5.442685551	4.711561724	3.890126441	5.121277897	4.522919218	4.489896497	5.177026873	4.670156368	5.293294718	5.077287776	3.83312394	4.739567399	5.23953291	6.535944941	6.671868265	7.058636206	6.013789759	5.045124794	5.571802274	6.46438388	6.521435078	6.013596067	6.061093054	NA
"3"	"GDP growth (annual %)"	"NY.GDP.MKTP.KD.ZG"	"Bhutan"	"BTN"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.90772904	3.413941475	11.31071362	4.482105129	4.211775036	11.73057663	28.69626536	4.987289699	7.432626446	10.87643469	-0.407876089	4.600891432	1.98636659	4.95150367	7.074117278	5.565172862	5.373838519	5.914030835	7.983972022	6.93302424	8.203773861	10.72784061	7.664334042	5.896408192	7.12255965	6.849365932	17.92582494	4.768354226	6.657223796	11.73085436	7.890913893	5.071709815	2.142496554	5.458817312	NA
"4"	"GDP growth (annual %)"	"NY.GDP.MKTP.KD.ZG"	"India"	"IND"	NA	3.722742532	2.931127737	5.994353262	7.452950122	-2.635770112	-0.05532877	7.825963033	3.387929174	6.539700298	5.157229736	1.642930383	-0.553301313	3.295521136	1.18533626	9.149912014	1.663103637	7.254764585	5.712532089	-5.238182703	6.735821528	6.006203623	3.475733241	7.288892902	3.820737855	5.254299224	4.77656417	3.965355634	9.627782919	5.947343329	5.533454563	1.056831432	5.482396022	4.750776219	6.658924067	7.574491841	7.549522248	4.049820849	6.184415821	8.845755561	3.840991157	4.823966264	3.803975321	7.860381475	7.922936613	9.284831507	9.263958898	9.801360337	3.890957062	8.479786622	10.25996299	6.63835345	5.081417925	6.899217233	7.286253239	NA
"5"	"GDP growth (annual %)"	"NY.GDP.MKTP.KD.ZG"	"Maldives"	"MDV"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.733744145	14.18146689	14.10006629	-8.604050305	20.65432574	10.79088236	12.47675618	-5.511438942	5.96267337	8.70933893	2.496489996	4.69979355	6.480585849	NA
"6"	"GDP growth (annual %)"	"NY.GDP.MKTP.KD.ZG"	"Nepal"	"NPL"	NA	1.908265969	1.910320034	1.895111643	7.532448553	-1.203189017	7.040643143	-1.571497498	0.675483464	4.463421601	2.575992126	-1.1953833	3.117800363	-0.476536268	6.333590373	1.456470708	4.39853618	3.016973441	4.40574139	2.368877794	-2.319394203	8.341974134	3.779374654	-2.977405858	9.681130015	6.144905238	4.565650545	1.695618265	7.696808711	4.329647934	4.635036347	6.368150403	4.106406612	3.849850022	8.216002709	3.468451883	5.328284175	5.048612536	3.016389482	4.412573271	6.199999988	4.799762644	0.120266897	3.945037767	4.682603245	3.479181046	3.364614788	3.411560276	6.104639142	4.53307872	4.81641465	3.421828241	4.781192258	4.128877676	5.380583821	NA
"7"	"GDP growth (annual %)"	"NY.GDP.MKTP.KD.ZG"	"Pakistan"	"PAK"	NA	5.987346419	4.482858627	8.688831518	7.569757449	10.41936582	5.789951801	5.400612597	7.233220925	5.507899634	11.35346172	0.468372549	0.813406405	7.064263857	3.540191713	4.211415631	5.15618959	3.947698287	8.048533619	3.758435569	10.21570404	7.920763572	6.5374868	6.778378339	5.065205605	7.592114699	5.501653664	6.452343025	7.62527878	4.959768894	4.458586815	5.061567755	7.705897823	1.757747697	3.737415552	4.96260915	4.846581284	1.014396014	2.550234295	3.660132744	4.260088012	1.982484032	3.224429973	4.846320935	7.368571359	7.667304271	6.177542036	4.832817277	1.701405465	2.831658519	1.606691959	2.74840255	3.50703342	4.367249451	4.738354944	NA
"8"	"GDP growth (annual %)"	"NY.GDP.MKTP.KD.ZG"	"Sri Lanka"	"LKA"	NA	NA	3.818019562	2.516748582	3.906489058	2.536964176	5.023798063	6.439015065	5.801104841	7.716811634	3.846634267	1.306901107	-0.41048031	7.057387186	3.845844485	6.126219481	3.335108474	5.100602939	5.65383846	6.403541156	5.84603266	5.699521568	4.141507109	4.813978258	5.099155883	4.999397125	4.355549409	1.725610666	2.472693	2.299295878	6.399999999	4.600000001	4.399999991	6.900000005	5.600000003	5.499999999	3.799999996	6.405415966	4.698397162	4.300572628	6	-1.545372866	3.964656494	5.940269077	5.445061279	6.241748044	7.668291898	6.79682612	5.950088146	3.538912053	8.015959406	8.404701706	9.144576757	3.395721879	4.457926406	NA
"9"	"GDP growth (annual %)"	"NY.GDP.MKTP.KD.ZG"	"Cambodia"	"KHM"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.099464508	6.442902796	5.412339379	5.619792925	5.00903275	11.90975793	8.766785439	8.038631629	6.687880848	8.505898789	10.34052873	13.25008556	10.77108716	10.21257181	6.691577475	0.086696959	5.963078575	7.069569946	7.261322743	7.480003653	7.071525352	NA
"10"	"GDP growth (annual %)"	"NY.GDP.MKTP.KD.ZG"	"Lao PDR"	"LAO"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.069963948	4.885133261	-1.425792382	-2.01020105	14.19063663	6.704578688	4.296563641	5.559857768	5.912556556	8.159018531	7.031254328	6.928323725	6.872091273	3.967608091	7.306376073	5.798782326	5.751412882	5.918749073	6.066996905	6.35769548	7.107568369	8.619266209	7.596828801	7.824902763	7.501774913	8.526905517	8.038652681	8.024211032	8.471097672	7.515270123	NA
