,title,year,released,runtime,rating,votes,language,genres,certification
1,The Dark Knight,2008,18-07-08,152,9.10341,20984,en,action,PG-13
2,Inception,2010,16-07-10,148,8.83094,21170,en,action,PG-13
3,The Avengers,2012,04-05-12,143,8.40788,20376,en,action,PG-13
4,The Matrix,1999,30-03-99,136,8.97782,17766,en,action,R
5,Guardians of the Galaxy,2014,01-08-14,121,8.37605,17064,en,adventure,PG-13
6,Fight Club,1999,14-10-99,139,9.00934,16166,en,drama,R
7,Avatar,2009,18-12-09,162,7.82862,16180,en,action,PG-13
8,Iron Man,2008,02-05-08,126,8.36431,15388,en,action,PG-13
9,Frozen,2013,27-11-13,102,7.86937,15701,en,adventure,PG
10,The Lord of the Rings: The Fellowship of the Ring,2001,19-12-01,178,8.82383,14804,en,action,PG-13
11,The Dark Knight Rises,2012,20-07-12,165,8.40524,15006,en,action,PG-13
12,Interstellar,2014,05-11-14,169,8.54814,14228,en,science-fiction,PG-13
13,The Lord of the Rings: The Return of the King,2003,01-12-03,201,8.94832,13893,en,action,PG-13
14,Django Unchained,2012,25-12-12,165,8.57049,14095,en,drama,R
15,Batman Begins,2005,15-06-05,140,8.44055,14137,en,action,PG-13
16,The Lord of the Rings: The Two Towers,2002,18-12-02,179,8.83038,13619,en,action,PG-13
17,The Hobbit: An Unexpected Journey,2012,14-12-12,169,8.0872,14014,en,action,PG-13
18,The Hunger Games,2012,23-03-12,142,7.64249,14405,en,adventure,PG-13
19,The Wolf of Wall Street,2013,25-12-13,180,8.10453,13661,en,comedy,R
20,Finding Nemo,2003,30-05-03,100,8.31684,13177,en,animation,G
21,Up,2009,13-05-09,96,8.44532,12975,en,adventure,PG
22,WALL·E,2008,22-06-08,98,8.55921,12793,en,animation,G
23,Pulp Fiction,1994,14-10-94,154,8.88539,12303,en,crime,R
24,Captain America: The Winter Soldier,2014,04-04-14,136,8.01799,12899,en,action,PG-13
25,Edge of Tomorrow,2014,06-06-14,113,8.0258,12829,en,action,PG-13
26,Despicable Me,2010,08-07-10,95,8.15937,12681,en,animation,PG
27,The Hunger Games: Catching Fire,2013,22-11-13,146,7.91943,12859,en,action,PG-13
28,Back to the Future,1985,03-07-85,116,8.7675,12172,en,adventure,PG
29,Iron Man 3,2013,03-05-13,130,7.74529,12736,en,action,PG-13
30,The Shawshank Redemption,1994,14-09-94,142,9.29882,11542,en,crime,R
31,Forrest Gump,1994,22-06-94,142,8.70954,11871,en,comedy,PG-13
32,Iron Man 2,2010,07-05-10,124,7.67,12415,en,action,PG-13
33,Star Wars: Episode IV - A New Hope,1977,25-05-77,121,8.79682,11556,en,action,PG
34,X-Men: Days of Future Past,2014,23-05-14,131,8.07473,12057,en,action,PG-13
35,Gravity,2013,04-10-13,91,7.80068,12031,en,drama,PG-13
36,"Monsters, Inc.",2001,01-11-01,92,8.38012,11562,en,animation,G
