ID_Number,Forest_Type,Plot,Layer,pH,Org_Matter,Bulk_Density,Mic_BiomassC,Mic_BiomassN
B01 R1 O,Old growth,B01 R1,O,4.08,0.7813,1.143,0.144390102,0.254822849
B01 R2 O,Old growth,B01 R2,O,3.97,0.7247,0.854,0.671266595,0.038238471
B01 R3 O,Old growth,B01 R3,O,4.10,0.6578,1.154,0.12267983,0.054345013
B05 R1 O,Old growth,B05 R1,O,4.31,0.3128,1.013,0.198514197,0.218611248
B05 R2 O,Old growth,B05 R2,O,5.77,0.5263,1.302,0.562079005,0.047083621
B05 R3 O,Old growth,B05 R3,O,5.71,0.6946,0.861,1.900176684,0.337158124
B07 R1 O,Old growth,B07 R1,O,5.19,0.5924,0.826,0.969679401,0.197771836
B07 R2 O,Old growth,B07 R2,O,4.95,0.2390,0.868,0.198428827,0.041093062
B07 R3 O,Old growth,B07 R3,O,4.12,0.3424,0.771,0.223305001,0.034934218
B09 R1 O,Old growth,B09 R1,O,3.95,0.4961,1.283,0.997373398,0.166821516
B09 R2 O,Old growth,B09 R2,O,3.96,0.5249,1.077,0.372729577,0.243654189
B09 R3 O,Old growth,B09 R3,O,4.07,0.4103,1.311,0.492979466,0.209197928
B11 R1 O,Old growth,B11 R1,O,3.84,0.3885,1.221,0.27799682,0.09497503
B11 R2 O,Old growth,B11 R2,O,3.87,0.5480,1.705,1.450276186,0.088208912
B11 R3 O,Old growth,B11 R3,O,3.73,0.5217,1.369,1.198159371,0.08476622
B13 R1 O,Old growth,B13 R1,O,4.20,0.6692,1.921,0.74774926,0.100893572
B13 R2 O,Old growth,B13 R2,O,4.25,4.0090,1.374,0.35386583,0.169015091
B13 R3 O,Old growth,B13 R3,O,4.13,0.8640,1.431,0.923154421,0.040499678
B15 R1 O,Old growth,B15 R1,O,4.76,0.3712,1.131,1.050759007,0.028226628
B15 R2 O,Old growth,B15 R2,O,4.93,0.4471,0.971,1.015334173,0.414434754
B15 R3 O,Old growth,B15 R3,O,4.63,0.7406,0.769,0.988739028,0.045550017
B17 R1 O,Old growth,B17 R1,O,4.49,0.4175,0.932,0.319447413,0.257481972
B17 R2 O,Old growth,B17 R2,O,4.65,0.4780,0.964,0.061588538,0.261230612
B17 R3 O,Old growth,B17 R3,O,4.40,0.4160,0.917,1.295188156,0.222835096
B19 R1 O,Old growth,B19 R1,O,4.09,6.3292,0.347,0.349854181,0.236020106
B19 R2 O,Old growth,B19 R2,O,3.84,7.9415,1.293,0.517883589,0.288692554
B19 R3 O,Old growth,B19 R3,O,3.94,6.9074,1.146,1.879466407,0.038810724
B21 R1 O,Old growth,B21 R1,O,4.03,6.3705,0.861,0.643723386,0.018809046
B21 R2 O,Old growth,B21 R2,O,3.78,7.6844,1.097,0.166028239,0.130450759
B21 R3 O,Old growth,B21 R3,O,3.75,7.3341,0.929,0.700692388,0.077615157
B25 R1 O,Old growth,B25 R1,O,4.27,0.5053,0.992,1.476838799,0.23828867
B25 R2 O,Old growth,B25 R2,O,4.80,1.5512,0.730,1.946647355,0.030856405
B25 R3 O,Old growth,B25 R3,O,4.27,0.4957,0.897,1.746220443,0.038574523
B01 R1 OM,Old growth,B01 R1,OM,4.15,0.5079,1.399,0.840577328,0.045450414
B01 R2 OM,Old growth,B01 R2,OM,4.17,0.4006,1.516,0.510083385,0.009594045
B01 R3 OM,Old growth,B01 R3,OM,3.99,0.4509,1.454,0.460497078,0.018826952
B05 R1 OM,Old growth,B05 R1,OM,4.15,0.2436,1.206,0.543610858,0.03602879
B05 R2 OM,Old growth,B05 R2,OM,5.77,0.2927,1.412,0.407548061,0.023973415
B05 R3 OM,Old growth,B05 R3,OM,4.38,0.2729,1.327,1.625438595,0.03954699
B07 R1 OM,Old growth,B07 R1,OM,4.80,0.2421,1.320,0.471313474,0.119146359
B07 R2 OM,Old growth,B07 R2,OM,4.62,0.1740,1.330,0.289357072,0.057268587
B07 R3 OM,Old growth,B07 R3,OM,4.27,0.2474,0.976,0.980571958,0.213268606
B09 R1 OM,Old growth,B09 R1,OM,4.26,0.2475,1.292,0.385504031,0.065870437
B09 R2 OM,Old growth,B09 R2,OM,4.22,0.3190,1.167,0.832349094,0.055097659
B09 R3 OM,Old growth,B09 R3,OM,4.13,0.2534,1.359,0.562951632,0.121657233
B11 R1 OM,Old growth,B11 R1,OM,3.86,0.3223,1.563,1.563068515,0.057830807
B11 R2 OM,Old growth,B11 R2,OM,3.84,0.3670,1.242,2.168521797,0.044659338
B11 R3 OM,Old growth,B11 R3,OM,3.76,0.4487,1.462,1.097126338,0.046433497
B13 R1 OM,Old growth,B13 R1,OM,4.38,0.3484,1.560,0.289968756,0.063584831
B13 R2 OM,Old growth,B13 R2,OM,4.32,0.4825,1.451,0.49934717,0.012089458
B13 R3 OM,Old growth,B13 R3,OM,4.59,0.3192,1.904,0.512479134,0.087131764
B15 R1 OM,Old growth,B15 R1,OM,4.74,0.2429,1.479,0.265914867,0.010149422
B15 R2 OM,Old growth,B15 R2,OM,4.44,0.2316,1.246,1.051049877,0.018864998
B15 R3 OM,Old growth,B15 R3,OM,4.75,0.4536,1.317,0.625954888,0.020298274
B17 R1 OM,Old growth,B17 R1,OM,4.54,0.2448,1.250,0.305805955,0.020598329
B17 R2 OM,Old growth,B17 R2,OM,4.57,0.2122,1.306,0.234057748,0.106389886
B17 R3 OM,Old growth,B17 R3,OM,4.39,0.2028,1.482,0.379930079,0.021617643
B19 R1 OM,Old growth,B19 R1,OM,3.97,7.2044,1.072,0.825823972,0.184745617
B19 R2 OM,Old growth,B19 R2,OM,3.87,8.1223,1.328,0.545809718,0.100927096
B19 R3 OM,Old growth,B19 R3,OM,3.82,0.4160,1.612,0.087771986,0.048885663
