,title,year,runtime,network,country,language,genres,aired_episodes,airs_day,airs_time
1,Game of Thrones,2011,60,HBO,us,en,drama,50,Sunday,21:00
2,Breaking Bad,2008,45,AMC,us,en,drama,62,Sunday,21:00
3,The Big Bang Theory,2007,25,CBS,us,en,comedy,192,Thursday,20:00
4,The Walking Dead,2010,42,AMC,us,en,drama,75,Sunday,21:00
5,Dexter,2006,60,Showtime,us,en,crime,96,NA,NA
6,How I Met Your Mother,2005,25,CBS,us,en,comedy,208,Monday,20:00
7,Sherlock,2010,90,BBC One,gb,en,drama,9,Sunday,20:30
8,Arrow,2012,43,The CW,us,en,drama,78,Wednesday,20:00
9,Homeland,2011,45,Showtime,us,en,drama,58,Sunday,21:00
10,Fringe,2008,42,FOX (US),us,en,drama,100,NA,NA
11,House,2004,45,FOX (US),us,en,comedy,176,NA,NA
12,Lost,2004,45,ABC (US),us,en,drama,120,Tuesday,21:00
13,Friends,1994,25,NBC,us,en,comedy,236,Thursday,20:00
14,Suits,2011,42,USA Network,us,en,drama,70,Wednesday,21:00
15,Supernatural,2005,45,The CW,us,en,drama,227,Wednesday,21:00
16,House of Cards,2013,60,Netflix,us,en,drama,39,Friday,3:01
17,Modern Family,2009,25,ABC (US),us,en,comedy,153,Wednesday,21:00
18,Doctor Who,2005,45,BBC One,gb,en,drama,115,Saturday,20:30
19,The Simpsons,1989,25,FOX (US),us,en,animation,582,Sunday,20:00
20,Community,2009,25,Yahoo! Screen,us,en,comedy,110,Tuesday,3:00
21,True Detective,2014,60,HBO,us,en,drama,16,Sunday,21:00
22,True Blood,2008,60,HBO,us,en,drama,80,Sunday,21:00
23,Orange Is the New Black,2013,60,Netflix,us,en,comedy,39,Friday,4:00
24,American Horror Story,2011,50,FX,us,en,drama,60,Wednesday,22:00
25,Marvel's Agents of S.H.I.E.L.D.,2013,43,ABC (US),us,en,action,54,Tuesday,21:00
26,Person of Interest,2011,45,CBS,us,en,drama,90,Tuesday,22:00
27,Firefly,2002,60,FOX (US),us,en,drama,14,NA,NA
28,Once Upon a Time,2011,45,ABC (US),us,en,drama,100,Sunday,20:00
29,Family Guy,1999,25,FOX (US),us,en,animation,257,Sunday,21:00
30,New Girl,2011,25,FOX (US),us,en,comedy,94,Tuesday,20:00
31,Futurama,1999,22,Comedy Central,us,en,animation,124,Wednesday,22:00
